id,type,label,title,image,pdfUrl
team1,team,Team 01: 41h0(シホ),FisBuzz,./images/1.png,https://drive.google.com/file/d/11BEGQ2zwdsX3J2uUjaYVTLdIauA7Qweg/preview
team2,team,Team 02: WildCard,うみべのまち,./images/2.png,https://drive.google.com/file/d/1HdHtog5m6cU0s-Psnj9PBFombsaXxDDp/preview
team3,team,Team 03: Dチーム,リモート勝手丼,./images/3.png,https://drive.google.com/file/d/1whvdSrY4jvcqxQgVHWBRMuZ1ipFMNpeB/preview
team4,team,Team 04: TBD,飲食店検索サイト AGISAI,./images/4.png,https://drive.google.com/file/d/1t5IsPerl_ZuG_PJaasBbwyLrnDbDcy1N/preview
team5,team,Team 05: チーム金工大,石川推し魚水族館,./images/5.png,https://drive.google.com/file/d/1NZQJ7GY9AkC-IV7mZZAqS5YRwEaYJdro/preview
team6,team,Team 06: Team Null,ふるさとピンチ,./images/6.png,https://drive.google.com/file/d/1hAPsDpR2rr6znl2dwyjjgQCLkSI0QAI8/preview
team7,team,Team 07: チームオーシャン,漁情法,./images/7.png,https://drive.google.com/file/d/1wBEWKRe6oK9e6GyKFW-O7pE-EXRYH2pF/preview
team8,team,Team 08: CRAB倶楽部,輝に会えるのか,./images/8.png,https://drive.google.com/file/d/1k9e2-rxWmgnmrZAzRx9HyokJBTCCvOfu/preview
team9,team,Team 09: Team_Sousei,ウオガイド・カナザワ,./images/9.png,https://drive.google.com/file/d/1OffP5F1ximC3dZMy0rzGiKVUXNZJl3hI/preview
team10,team,Team 10: IshiWave,まいもんハンター,./images/10.png,https://drive.google.com/file/d/1tesZSfDx9gm1XZ-u2HLItuK2eBFTYHZh/preview
team11,team,Team 11: チームなかや,超AIコンシェルジュ!,./images/11.png,https://drive.google.com/file/d/1sGnA3lkDvAyjxSBCFk_7DoJMjPEW60wt/preview
team12,team,Team 12: いわしくるくる,ぎょぎょろぐ,./images/12.png,https://drive.google.com/file/d/1Oqtb_hSZ9O0oD4g9icZv148GaboAW2oC/preview
team13,team,Team 13: Chasoso,Nihonkai Tsu,./images/13.png,https://drive.google.com/file/d/19MMchxu1lqgUKyWeMRlmOxtp6b-U2nci/preview
team14,team,Team 14: データドリブンLab,TORETATE,./images/14.png,https://drive.google.com/file/d/1IVYf25Y6rdGMS9lY8wKb3kRK4d65Es2L/preview
team15,team,Team 15: AirData,SuiSanData,./images/15.png,https://drive.google.com/file/d/1iN8SuA0-0oHbXMLY4BTfFusVxNYhW0NN/preview
team16,team,Team 16: （仮）,Ocean Copilot,./images/16.png,https://drive.google.com/file/d/1vDYvfem8ahxR3hFLIBiT6BuZIlz6Fj6A/preview
team17,team,Team 17: 海洋のオーシャン,金沢魚通ガイド,./images/17.png,https://drive.google.com/file/d/14Z0qPuwB4Z7dnugV_8P-QiF3iDrJOnhm/preview
team18,team,Team 18: naminamina,（アプリ名未定）,./images/18.png,
team19,team,Team 19: UoNow うおセブン,UoNow うおセブン,./images/19.png,https://drive.google.com/file/d/1dnSFrpREV_7jaPX2uOw4Q4BX_EGNWrp_/preview
team20,team,Team 20: Shall we hack,漁獲量一発で確認アプリ（仮）,./images/20.png,https://drive.google.com/file/d/1fGvK5NiTKgnzsKWU10Z29YsDlRqn6D0P/preview
team21,team,Team 21: 寒いぜ石川,漁業会社シミュレーションゲーム,./images/21.png,https://drive.google.com/file/d/1xedWO0p1MY9tCTqVW072Eklbdw1vWS74/preview
team22,team,Team 22: 漁師コンピューティング,漁師コンピューター,./images/22.png,https://drive.google.com/file/d/1svSAPF08O_6CaFeqIum8c6Sls_gjk0cK/preview
team23,team,Team 23: 能登LSAデジタルラボ,UMINO WA,./images/23.png,https://drive.google.com/file/d/1aep8FIY3DlzjhG-CnOXEAbLSdkas8ce9/preview
